出演者名,メンバー,アー写,テックライダー,紹介文
electric catfish,"braven (音) santa (映像)",https://photos.app.goo.gl/QL73aAXdNd244WYN9,,"Santa Naruseとbravenによる電磁波ノイズ∨オーディオヴィジュアルユニット。今回はオーディオヴィジュアルの方をやります。"
SAMOTRACK,"kavu(音) tainaka(映像)",,,Just do it.
税金操作,"joanna(音) tainaka(映像)",https://drive.google.com/file/d/1jIxHPiHmmIWwjiIp7Vv9Fq3pNbgAHrEs/view?usp=sharing,,選択してください
マクト,"minami(音) kawai(映像)",,,三波蒼菜とカワイタケシです。
hitsujikai,"jungjieyun(音) tokuboharuto(映像)",https://drive.google.com/drive/folders/1jJyfK7b5Z7MOUIRkM8p4kt8yoi_4cED1?usp=drive_link,,
nami,"藤谷治季（音）北村大樹（音）",https://drive.google.com/file/d/1YgtDSamC3Ydtpn9gTC71UZ28Z8vFlL2X/view?usp=sharing,,藤谷治季と北村大樹による即興電子音響ユニット
葊 -iori-,奥野唯織（音・映像）,https://drive.google.com/file/d/1Go_6HKKhtGHweT_dHLyGmR3f-G4_aOWm/view?usp=share_link,,香川県の高松を演奏します。
oowets,,,,OOWETS （オーウェッツ）　香川県の瀬戸内海横にあるホームスタジオで（木・石・水）などの自然物と楽器（シンセ・ピアノ・ギター・サンプラー・カセットテープ）などを組み合わせて、ダンスミュージック、ダウンテンポ、アンビエント、環境音楽、エレクトロニカなどの音楽やサウンドアートを制作しています。
ピクニック・ディスコ,Kotetsu Shoichiro（声・トラック）Daichi Hirao（ギター）,https://drive.google.com/file/d/1HePoc7GIpMVvIVJA5Djg1I0Q8LbmWSVP/view?usp=sharing,,2011年に結成。入江陽のレーベルmarutenn booksより2枚のシングルをリリース、DOMMUNE SETOUCHIへの出演や、tofubeatsのレーベルHIHATTを始めとするリミックスや客演での参加多数。＊＊＊トラックとギター、ラップによるファンキーな演奏をします。https://www.youtube.com/watch?v=6hd18lK6-EY
pheme,pheme,,,様々なジャンルをミックス。
Kei Kimura,音(サクソフォン+DTM),https://drive.google.com/file/d/1Rqt24TpP9iTZIPpApQ95iQAgZglKFVtc/view?usp=drive_link,,Saxophone + DTM